1,aerinite,"[H, C, O, Na, Mg, Al, Si, Ca, Fe]","[28.13, 0.78, 49.22, 1.17, 1.48, 3.67, 9.38, 3.52, 2.66]",quartz and silicates,
2,aikinite,"[S, Cu, Pb, Bi]","[50.00, 16.67, 16.67, 16.67]",sulfides,tetrahedrite-bournonite-boulangerite
3,ajoite,"[H, O, Na, Al, Si, K, Cu]","[17.11, 53.48, 1.20, 1.60, 15.51, 0.40, 10.70]",quartz and silicates,zeolite
4,algodonite,"[Cu, As]","[85.00, 15.00]",sulfides,chalcosite
5,antimonpearceite,"[S, Cu, As, Ag, Sb]","[37.93, 8.62, 1.72, 46.55, 5.17]",sulfides,proustite-stephanite
6,antlerite,"[H, O, S, Cu]","[25.00, 50.00, 6.25, 18.75]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
7,apachite,"[H, O, Si, Cu]","[27.16, 49.38, 12.35, 11.11]",quartz and silicates,zeolite
8,arsentsumebite,"[H, O, S, Cu, As, Pb]","[6.67, 60.00, 6.67, 6.67, 6.67, 13.33]","phosphates, arsenates and vanadates",
9,arthurite,"[H, O, P, S, Fe, Cu, As]","[30.91, 50.91, 2.18, 0.73, 7.27, 3.64, 4.36]","phosphates, arsenates and vanadates",turquoise-olivenite
10,atacamite,"[H, O, Cl, Cu]","[33.33, 33.33, 11.11, 22.22]",halides,chlorargyrite-atacamite
11,aurichalcite,"[H, C, O, Cu, Zn]","[24.00, 8.00, 48.00, 5.00, 15.00]",carbonates,cerussite-malachite-hydrozinkite
12,azurite,"[H, C, O, Cu]","[13.33, 13.33, 53.33, 20.00]",carbonates,cerussite-malachite-hydrozinkite
13,bayldonite,"[H, O, Cu, As, Pb]","[19.05, 52.38, 14.29, 9.52, 4.76]","phosphates, arsenates and vanadates",turquoise-olivenite
14,beaverite,"[H, O, S, Fe, Cu, Pb]","[23.08, 53.85, 7.69, 7.69, 3.85, 3.85]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
15,bellingerite,"[H, O, Cu, I]","[12.12, 60.61, 9.09, 18.18]",borates and nitrates,salpeter
16,berryite,"[S, Cu, Ag, Pb, Bi]","[51.61, 9.68, 6.45, 9.68, 22.58]",sulfides,tetrahedrite-bournonite-boulangerite
17,berzelianite,"[Cu, Se]","[66.67, 33.33]",sulfides,chalcosite
18,boleite,"[H, O, Cl, K, Cu, Ag, Pb]","[22.02, 22.02, 28.44, 0.46, 11.01, 4.13, 11.93]",halides,chlorargyrite-atacamite
19,boothite,"[H, O, Mg, S, Cu]","[51.85, 40.74, 0.93, 3.70, 2.78]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
20,bornite,"[S, Fe, Cu]","[40.00, 10.00, 50.00]",sulfides,chalcopyrite-bornite
21,botallackite,"[H, O, Cl, Cu]","[33.33, 33.33, 11.11, 22.22]",halides,chlorargyrite-atacamite
22,bournonite,"[S, Cu, Sb, Pb]","[50.00, 16.67, 16.67, 16.67]",sulfides,tetrahedrite-bournonite-boulangerite
23,brochantite,"[H, O, S, Cu]","[28.57, 47.62, 4.76, 19.05]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
24,caledonite,"[H, C, O, S, Cu, Pb]","[15.79, 2.63, 55.26, 7.89, 5.26, 13.16]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
25,carrollite,"[S, Co, Ni, Cu]","[57.14, 21.43, 7.14, 14.29]",sulfides,pyrrhotine-pentlandite
26,chalcophyllite,"[H, O, Al, S, Cu, As]","[45.5, 41.7, 0.95, 1.42, 8.53, 1.9]","phosphates, arsenates and vanadates",turquoise-olivenite
27,chalcopyrite,"[S, Fe, Cu]","[50.00, 25.00, 25.00]",sulfides,chalcopyrite-bornite
28,chalcosite,"[S, Cu]","[33.33, 66.67]",sulfides,chalcosite
29,chalcotrichite,"[O, Cu]","[33.33, 66.67]",oxides,cuprite-zinkite-tenorite
30,chenevixite,"[H, O, Fe, Cu, As]","[18.18, 54.55, 9.09, 9.09, 9.09]","phosphates, arsenates and vanadates",turquoise-olivenite
31,chrysocolla,"[H, O, Al, Si, Cu]","[36.36, 45.45, 2.27, 9.09, 6.82]",quartz and silicates,zeolite
32,claraite,"[H, C, O, S, Cu, Zn, As]","[28.71, 4.24, 47.74, 1.03, 13.64, 2.28, 2.36]",carbonates,
33,colusite,"[S, V, Cu, As]","[50.00, 3.13, 37.50, 9.38]",sulfides,tetrahedrite-bournonite-boulangerite
34,connellite,"[H, O, S, Cl, Cu]","[38.74, 37.70, 0.52, 4.19, 18.85]",halides,chlorargyrite-atacamite
35,copiapite,"[H, O, S, Fe]","[42.42, 46.46, 6.06, 5.05]","sulphates, chromates, molybdates and wolframates",alaun-chalkantite
36,cornetite,"[H, O, P, Cu]","[21.43, 50.00, 7.14, 21.43]","phosphates, arsenates and vanadates",turquoise-olivenite
37,cornubite,"[H, O, Si, P, V, Cu, Zn, As]","[17.33, 51.99, 0.22, 0.09, 0.04, 21.97, 0.17, 8.19]","phosphates, arsenates and vanadates",turquoise-olivenite
38,covellite,"[S, Cu]","[50.00, 50.00]",sulfides,chalcosite
39,creaseyite,"[H, O, Si, Fe, Cu, Pb]","[26.09, 50.00, 10.87, 4.35, 4.35, 4.35]",quartz and silicates,
40,crednerite,"[O, Mn, Cu]","[50.00, 25.00, 25.00]",oxides,cuprite-zinkite-tenorite
